"Observation.id","Observation.date","Description","Subject","Behavior","Behavioral.category","Modifiers","Behavior.type","Start..s.","Stop..s.","Duration..s."
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","38145.000","38150.944","5.944"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Accelerometer",NA,NA,"STATE","38161.451","38167.203","5.752"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Accelerometer",NA,NA,"STATE","38167.705","38174.955","7.250"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Accelerometer",NA,NA,"STATE","38176.455","38182.771","6.316"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","38186.022","38199.602","13.580"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","40633.342","40639.844","6.502"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","40641.374","40642.624","1.250"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Other",NA,NA,"STATE","40642.652","40643.652","1.000"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","40644.404","40650.155","5.751"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","40650.171","40653.672","3.501"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","40653.925","40656.671","2.746"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Standing",NA,NA,"STATE","40656.922","40659.674","2.752"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","40660.941","40663.693","2.752"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Walking","STATE","40664.193","40665.473","1.280"
"Day1_Ind2","2020-02-27 12:35:28",NA,2,"Movement","Locomotion","Trotting","STATE","40666.221","40667.473","1.252"
