Name,Type,Zone,Species,StudyMass,AverageMass,MOMLogMass,LogMass,MassCitation,CalculatedVDBA,SamplingStyle,Frequency,SamplingSensitivity,Device,DeviceAttachment,DataCitation,PaperCitation,Link
Acacio_Stork,Bird,Bird,White storks (Ciconia ciconia),,3.342,,3.52,AnimalTraits,calculated by subtracting each acceleration point from a running-mean of 4 s for each axis and summing the resulting values for all three axes,Burst,1,,"Movetech Telemetry, Ornitela",Back,"Acacio M, Catry I, Soriano-Redondo A, Silva JP, Atkinson PW, Franco AMA. 2023. Data from: Timing is critical: consequences of asynchronous migration for the performance and destination of a long-distance migrant. Movebank Data Repository. https://doi.org/10.5441/001/1.137cn005","Ac‡cio, M., Catry, I., Soriano-Redondo, A., Silva, J. P., Atkinson, P. W., & Franco, A. M. (2022). Timing is critical: consequences of asynchronous migration for the performance and destination of a long-distance migrant. Movement Ecology, 10(1), 28.",Timing is critical: consequences of asynchronous migration for the performance and destination of a long-distance migrant | Movement Ecology
Annett_Glider,Mam,Land,,0.4,,,2.6,,,Continuous,50,16-bit resolution at a range of ±8?g,Axivity,Collar,Personal correspondance,Unpublished,
Annett_Wallaby,Mam,Land,,,10,,4,Guess,,Continuous,50,,Axivity,,,,
Annett_Bettong,Mam,Land,,,,,3.51,MOM,,Continuous,50,,Axivity,,,,
Annett_Kangaroo,Mam,Land,"Red Kangaroo, Western Grey Kangaroo",,45,,4.65,Personal,,Continuous,50,,Axivity,Collar,Personal correspondance,Unpublished,
Annett_Possum,Mam,Land,,,,3.42,3.42,MOM,,Continuous,50,16-bit resolution at a range of ±8?g,Axivity,Harness,Personal correspondance,"Annett, J. R., Gaschk, J. L., & Clemente, C. J. (2024). Comparative analysis of behavioural repertoires for Mahogany glider and Brushtail possum using accelerometer loggers and machine learning algorithms. Journal of Zoology, 322(1), 24-34.",https://zslpublications.onlinelibrary.wiley.com/doi/full/10.1111/jzo.13125
Chakravarty_Meerkat,Mam,Land,,0.667,,,2.82,Paper,,Continuous,100,,,,,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.13172,
Chimienti_Guillemots,Bird,Bird,common guillemots (Uria aalge),,,,,,,Continuous,25,,"Axy-Depth, TechnoSmArt",Back,"Chimienti, Marianna et al. (2016), The use of an unsupervised learning approach for characterizing latent behaviors in accelerometer data, Ecology and Evolution, Article-journal, https://doi.org/10.1002/ece3.1914","Chimienti, M., Cornulier, T., Owen, E., Bolton, M., Davies, I. M., Travis, J. M., & Scott, B. E. (2016). The use of an unsupervised learning approach for characterizing latent behaviors in accelerometer data. Ecology and Evolution, 6(3), 727-741.",The use of an unsupervised learning approach for characterizing latent behaviors in accelerometer data - Chimienti - 2016
Chimienti_Razorbills,Bird,Bird,razorbills (Alca torda),,,,,,,Continuous,25,,"Axy-Depth, TechnoSmArt",Back,"Chimienti, Marianna et al. (2016), The use of an unsupervised learning approach for characterizing latent behaviors in accelerometer data, Ecology and Evolution, Article-journal, https://doi.org/10.1002/ece3.1914","Chimienti, M., Cornulier, T., Owen, E., Bolton, M., Davies, I. M., Travis, J. M., & Scott, B. E. (2016). The use of an unsupervised learning approach for characterizing latent behaviors in accelerometer data. Ecology and Evolution, 6(3), 727-741.",https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.1915
Clemente_Echidna,Mam,Land,,3.23,,,3.51,Paper,,Continuous,100,±2G at 8-bit resolution,LIS302DL,Back,Personal correspondance,"Clemente, C. J., Cooper, C. E., Withers, P. C., Freakley, C., Singh, S., & Terrill, P. (2016). The private life of echidnas: using accelerometry and GPS to examine field biomechanics and assess the ecological impact of a widespread, semi-fossorial monotreme. Journal of Experimental Biology, 219(20), 3271-3283.",https://journals.biologists.com/jeb/article/219/20/3271/15432/The-private-life-of-echidnas-using-accelerometry
Clemente_Impala,Mam,Land,,49,,,4.69,Personal,,Continuous,50,,Axivity,Collar,Personal correspondance,Unpublished,
Clemente_Kudu,Mam,Land,,180,,,5.255272505,Personal,,Continuous,50,,Axivity,Collar,Personal correspondance,Unpublished,
DiCicco_Perentie,Rep,Land,Perentie,3,,,3.48,Personal,,Continuous,50,16-bit resolution) at a dynamic range of ± 4g,Axivity,Tail,Personal correspondance,Unpublished,
Dickinson_Goat,Mam,Land,African pygmy goats (Capra aegagrus hircus),25.9,,,4.41,Paper,"""smoothed VeDBA""",Continuous,10,,Daily Diary,Collar,"Dickinson, E. R., Twining, J. P., Wilson, R., Stephens, P. A., Westander, J., Marks, N., & Scantlebury, D. M. (2021). Limitations of using surrogates for behaviour classification of accelerometer data: refining methods using random forest models in Caprids. Movement Ecology, 9(1), 28.","Dickinson, E. R., Twining, J. P., Wilson, R., Stephens, P. A., Westander, J., Marks, N., & Scantlebury, D. M. (2021). Limitations of using surrogates for behaviour classification of accelerometer data: refining methods using random forest models in Caprids. Movement Ecology, 9(1), 28.",Limitations of using surrogates for behaviour classification of accelerometer data: refining methods using random forest models in Caprids | Movement Ecology
Dickinson_Ibex,Mam,Land,Alpine ibex (Capra ibex),45.6,,,4.66,Paper,,Continuous,10,,Daily Diary,Collar,"Dickinson, E. R., Twining, J. P., Wilson, R., Stephens, P. A., Westander, J., Marks, N., & Scantlebury, D. M. (2021). Limitations of using surrogates for behaviour classification of accelerometer data: refining methods using random forest models in Caprids. Movement Ecology, 9(1), 28.","Dickinson, E. R., Twining, J. P., Wilson, R., Stephens, P. A., Westander, J., Marks, N., & Scantlebury, D. M. (2021). Limitations of using surrogates for behaviour classification of accelerometer data: refining methods using random forest models in Caprids. Movement Ecology, 9(1), 28.",https://movementecologyjournal.biomedcentral.com/articles/10.1186/s40462-021-00265-8
Dissanayake_Calf,Mam,Land,,,,,5,Google,,Continuous,25,,,,,,https://zenodo.org/records/13259482
