Name,Species,Citation,StudyMass,GuesstimatedMass,MOMLogMass,LogMass,SamplingStyle,Frequency,SamplingSensitivity,Device,DeviceAttachment
Studd_Squirrel,Red squirrel,"Studd, E. K., Landry?Cuerrier, M., Menzies, A. K., Boutin, S., McAdam, A. G., Lane, J. E., & Humphries, M. M. (2019). Behavioral classification of low?frequency acceleration and temperature data from a free?ranging small mammal. Ecology and Evolution, 9(1), 619-630.",0.25,,,2.4,Continuous,1,,,Collar
Annett_Glider,Mahogany Glider,Unpublished,0.4,,,2.6,Continuous,50,16-bit resolution at a range of ±8?g,Axivity,Collar
Gaschk_Quoll,Northern Quoll,"Gaschk, J. L., Del Simone, K., Wilson, R. S., & Clemente, C. J. (2023). Resting disparity in quoll semelparity: examining the sex-linked behaviours of wild roaming northern quolls (Dasyurus hallucatus) during breeding season. Royal Society Open Science, 10(2), 221180.",0.489,,,2.69,Continuous,50,,Axivity,Back
Williams_Squirrel,Arctic ground squirrels,"Williams, C. T., Wilsterman, K., Zhang, V., Moore, J., Barnes, B. M., & Buck, C. L. (2016). The secret life of ground squirrels: accelerometry reveals sex-dependent plasticity in above-ground activity. Royal Society open science, 3(9).",0.689,,,2.84,Continuous,1,,Axy,Collar
Annett_Possum,Brushtail Possum,"Annett, J. R., Gaschk, J. L., & Clemente, C. J. (2024). Comparative analysis of behavioural repertoires for Mahogany glider and Brushtail possum using accelerometer loggers and machine learning algorithms. Journal of Zoology, 322(1), 24-34.",,,3.42,3.42,Continuous,50,16-bit resolution at a range of ±8?g,Axivity,Chest
Annett_Bettong,Rufous Bettong,Unpublished,,,3.51,3.51,Continuous,50,,Axivity,
Clemente_Echidna,Short-beaked echidna,"Clemente, C. J., Cooper, C. E., Withers, P. C., Freakley, C., Singh, S., & Terrill, P. (2016). The private life of echidnas: using accelerometry and GPS to examine field biomechanics and assess the ecological impact of a widespread, semi-fossorial monotreme. Journal of Experimental Biology, 219(20), 3271-3283.",3.23,,,3.51,Continuous,100,±2G at 8-bit resolution,LIS302DL,Back
Dunford_Cat,Domestic cat,"Dunford, C. E., Marks, N. J., Wilson, R. P., & Scantlebury, D. M. (2024). Identifying animal behaviours from accelerometers: Improving predictive accuracy of machine learning by refining the variables selected, data frequency, and sample duration. Ecology and Evolution, 14(5), e11380.",,4,,3.6,Continuous,40,,Daily Diary,Collar
Galea_Cat,Domestic cat,"Galea, N., Murphy, F., Gaschk, J. L., Schoeman, D. S., & Clemente, C. J. (2021). Quantifying finer-scale behaviours using self-organising maps (SOMs) to link accelerometery signatures with behavioural patterns in free-roaming terrestrial animals. Scientific Reports, 11(1), 13566.",,4,,3.6,Continuous,50,,Axivity,Chest
Smit_Cat,Domestic cat,"Smit, M., Ikurior, S. J., Corner-Thomas, R. A., Andrews, C. J., Draganova, I., & Thomas, D. G. (2023). The use of triaxial accelerometers and machine learning algorithms for behavioural identification in domestic cats (Felis catus): A validation study. Sensors, 23(16), 7165.",,4,,3.6,Continuous,25,,,Collar
Sparkes_Koala,Koala (Queensland),"Sparkes, G. R., Wilson, O., Ellis, W. A., FitzGibbon, S. I., Barth, B. J., Clemente, C. J., ... & Wilson, R. S. (2025). Between the Trees: Quantifying Koala Ground Movement for Conservation Action. Animals, 15(24), 3537.",6.84,,,3.84,Continuous,50,,Axivity,
HarveyCaroll_Pangolin,African Pangolin,"Harvey-Carroll, J., Carroll, D., Trivella, C. M., & Connelly, E. (2024). Classification of African ground pangolin behaviour based on accelerometer readouts: validation of bio-logging methods. Animal Biotelemetry, 12(1), 22.",8.49,,,3.93,Continuous,50,,,Back
