Dataset,Name,ID,Mass (g),LogMass
Annett_Kangaroo,Sleepy Dave,Sleey_Dave_Collar10,58.65,4.77
Annett_Kangaroo,Windy,Windy_collar9,45.6,4.66
Annett_Kangaroo,Lola,Lola_Collar15,25.2,4.4
Annett_Kangaroo,Romeo,Romeo_Collar14,53,4.72
Annett_Kangaroo,Gramps,Gramps_collar2,55.8,4.75
Annett_Kangaroo,Gully Rat,Gully_Rat_Collar6,37.8,4.58
Annett_Kangaroo,Munchies,Munchies_Collar5,27.9,4.45
Annett_Kangaroo,Big Cahuna,Big_Cahuna_Collar3,50.4,4.7
Clemente_Impala,,1,57.67,4.76
Clemente_Impala,,2,63.87,4.81
Clemente_Impala,,3,42.07,4.62
Clemente_Impala,,4,57.97,4.76
Clemente_Impala,,5,53.47,4.73
Clemente_Impala,,6,64.27,4.81
Clemente_Impala,,7,34.47,4.54
Clemente_Impala,,8,53.17,4.73
Clemente_Impala,,10,27.45,4.44
Clemente_Impala,,11,60.57,4.78
Clemente_Impala,,12,32.87,4.52
Clemente_Impala,,14,45.47,4.66
Clemente_Impala,,15,46.87,4.67
Clemente_Kudu,,6017913_0000000000,180000,5.26
Gaschk_Quoll,cayless,Cayless,428,2.63
Gaschk_Quoll,disgrace,Disgrace,390,2.59
Gaschk_Quoll,grapes,Grapes,411,2.61
Gaschk_Quoll,klemmer,Klemmer,647,2.81
Gaschk_Quoll,maloney,Maloney,471,2.67
Gaschk_Quoll,moimoi,Moimoi,662,2.82
Gaschk_Quoll,moon,Moon,460,2.66
Gaschk_Quoll,shillington,Shillington,566,2.75
Gaschk_Quoll,shillington,Shillington2,566,2.75
Gaschk_Quoll,shoeshow,Snowshoe,617,2.79
Gaschk_Quoll,sphynx,Sphynx,342,2.53
Gaschk_Quoll,tedesco,Tedesco,535,2.73
Gaschk_Quoll,wolfram,Wolfram,384,2.58
HarveyCaroll_Pangolin,1. Chaminuka,champ,12000,4.08
HarveyCaroll_Pangolin,2. Sindisiwe,cindy1,4600,3.66
HarveyCaroll_Pangolin,2. Sindisiwe,cindy2,4600,3.66
HarveyCaroll_Pangolin,3. Dakarai,dakari,7100,3.85
HarveyCaroll_Pangolin,4. Impi,impi1,8750,3.94
HarveyCaroll_Pangolin,4. Impi,impi2,8750,3.94
HarveyCaroll_Pangolin,4. Impi,impi3,8750,3.94
HarveyCaroll_Pangolin,5. Yakachena,yakachena1,4500,3.65
HarveyCaroll_Pangolin,5. Yakachena,yakachena2,4500,3.65
HarveyCaroll_Pangolin,6. Shura,shura,13990,4.15
Mauny_Goat,21038,21038,38800,4.588831726
Mauny_Goat,21055,21055,48900,4.689308859
Mauny_Goat,21066,21066,60700,4.783188691
Mauny_Goat,21083,21083,47500,4.67669361
