"","X","file","Pelvis_height","Model_mass","Model_weight","Step_length_R","Step_length_L","Duty_factor_R","Duty_factor_L","Stride_freq","Stride_time","Target_speed","Speed","COT.main","Meta","flight_time","contact_events_total","Gravity","cong","GRFvert_R_max","GRFvert_R_min","GRFfore_R_max","GRFfore_R_min","med_gas_r_tendon","med_gas_r_muscle","lat_gas_r_tendon","lat_gas_r_muscle","soleus_r_tendon","soleus_r_muscle","EMA_knee","EMA_ankle","EMA_hip","metabolic.energy","muscle.activation","actuator.excitation","joint.accelerations","limit.torques","dadt","dFdt","arm.accelerations","planet","scale","job","filename","status_color","COT.status","grf","gait","bounds","status"
"1",1,"./Falisse_et_al_2022/Falisse_et_al_2022_job1338.mat",0.939776594178131,62,608.22,0.187499484038791,0.200032459862158,0.89,0.89,0.499999995881486,2.00000001647406,0.1,0.0989817945914583,27.1203538435068,0.480791873442207,0,1,-9.81,58.5531294050685,590.051364067771,4.27218515594883,23.921100680577,-32.7726717029007,1,1,1,1,1,1,0.708076204420096,0.20634659202139,0.438602174819671,271.606526817344,181.837041545725,288.62302893956,52.7389303876524,2.67144611989696,1.66943712935122e-07,1.08125297857879e-07,3.43432219151888e-05,"earth",NA,"job1338","earth_job1338","#ffffff","27.1204","","walking/shuffling","","ok"
"2",2,"./Falisse_et_al_2022/Falisse_et_al_2022_job1339.mat",0.939776594178131,62,608.22,0.869469118530308,0.874102499385807,0.67,0.67,0.571685480493795,1.74921356955969,0.5,0.493888740651674,6.84193045230722,0.605221328008898,0,1,-9.81,58.1429043368757,596.002105274206,0.0109740344549971,40.5614150743108,-47.0871589393696,1,1,1,1,1,1,0.569768461282994,0.205651048933405,0.442452354137674,106.1465822627,67.9721495109765,65.0648514193355,21.6166446361972,1.52492971960878,7.09273234036875e-08,4.87929279867376e-08,1.62986402990914e-05,"earth",NA,"job1339","earth_job1339","#ffffff","6.8419","","walking","","ok"
"3",3,"./Falisse_et_al_2022/Falisse_et_al_2022_job1340.mat",0.939776594178131,62,608.22,1.27910301451654,1.28609309548874,0.61,0.61,0.776296486543083,1.2881676232403,1,0.987971646022453,4.55065903958148,0.805239779430854,0,1,-9.81,55.0644422098453,625.742453514257,0.000253307940020581,79.5418724738581,-68.0741779959312,1,1,1,1,1,1,0.562115081732739,0.207772402127919,0.425734099462775,122.478063432756,56.1085578425047,35.1899801082939,47.4366017159412,1.13814848041966,1.69755724249276e-07,1.05137965283855e-07,1.39778636427755e-05,"earth",NA,"job1340","earth_job1340","#ffffff","4.5507","","walking","","ok"
"4",4,"./Falisse_et_al_2022/Falisse_et_al_2022_job1341.mat",0.939776594178131,62,608.22,1.53755164182456,1.54236627341592,0.58,0.58,0.969643220583335,1.03130716409114,1.5,1.48243941396113,4.235064113927,1.12445838145751,0,1,-9.81,57.3510796465382,801.230943644784,-1.39525820588649e-05,93.67391552951,-109.790402415093,1,1,1,1,1,1,0.543331029843357,0.212531426802975,0.414265092871998,198.448188289657,62.5222001449518,28.7973128699827,110.891717939209,1.77635801334975,4.01470582054034e-07,2.27528610541346e-07,1.85162287963642e-05,"earth",NA,"job1341","earth_job1341","#ffffff","4.2351","","walking","","ok"
"5",5,"./Falisse_et_al_2022/Falisse_et_al_2022_job1342.mat",0.939776594178131,62,608.22,1.49843544483703,1.50367327148214,0.54,0.54,1.32127049339011,0.756847295843415,2,1.97777767318237,4.57726618609811,1.62139967768551,0,1,-9.81,55.1412606256496,1008.45720012671,-0.02742235626073,70.0729346525881,-265.169424088996,1,1,1,1,1,1,0.391541550004416,0.233216820950564,0.467457974780206,354.793967784967,82.4128712961521,28.5144453923446,242.087491848735,0.123630025083224,6.67250054575442e-07,4.31573869551934e-07,5.93074942579286e-05,"earth",NA,"job1342","earth_job1342","#ffffff","4.5773","","grounded running","","ok"
"6",6,"./Falisse_et_al_2022/Falisse_et_al_2022_job1343.mat",0.939776594178131,62,608.22,1.6021832243298,1.60034988280714,0.5,0.5,1.54721495277254,0.646322605794394,2.5,2.47316183527442,4.47011143504238,1.98005534338578,0,1,-9.81,55.7173439554962,1061.26027789133,-0.0919404059863379,79.2882182445266,-310.865571778038,1,1,1,1,1,1,0.379927388132088,0.237810650587948,0.443968115728983,447.843401565454,89.8498157463723,26.2760289078795,321.679101112523,0.0847153313280392,9.18870968534411e-07,5.69627233639685e-07,5.10972058473515e-05,"earth",NA,"job1343","earth_job1343","#ffffff","4.4701","","grounded running","","ok"
"7",7,"./Falisse_et_al_2022/Falisse_et_al_2022_job1344.mat",0.939776594178131,62,608.22,1.67692092755831,1.67325436978587,0.45,0.45,1.77394419360463,0.563715591282503,3,2.96874167743622,4.372828819457,2.32509835784171,10,1,-9.81,55.7995413641467,1193.95217373894,-0.000227815879116629,107.406947596728,-281.650721085201,1,1,1,1,1,1,0.381457470854541,0.230095045177112,0.409845937049798,545.128907783374,89.0662535874277,37.4194743624187,420.492984554863,0.091833186480917,1.18278578652872e-06,7.27476269622912e-07,8.14330163470571e-05,"earth",NA,"job1344","earth_job1344","#ffffff","4.3728","","grounded running","","ok"
"8",8,"./Falisse_et_al_2022/Falisse_et_al_2022_job1345.mat",0.939776594178131,62,608.22,2.21799852349279,2.2337672123996,0.41,0.41,1.55918659348716,0.641360055414198,3.5,3.45590094001043,9.31989684087062,5.76871168713403,20,3,-9.81,55.3119841308109,1220.59416681702,-3.05031833161392,192.742357690104,-353.487491873817,1,1,1,1,1,1,0.654030950666485,0.560638928659679,0.398861266166673,5393.15085650709,177.558004165552,1952.95992672371,3205.06262430308,6605.09283365305,2.88011819834029e-06,1.48883487926454e-06,0.000171478651289161,"earth",NA,"job1345","earth_job1345","#ff8ad8","9.3199","","sliding on toes","","strange_movement?"
"9",9,"./Falisse_et_al_2022/Falisse_et_al_2022_job1348.mat",0.939776594178131,62,608.22,2.39447036733801,2.38316444538697,0.39,0.39,2.07388148686386,0.482187630457228,5,4.94783206939042,5.65890108700718,5.01479861656164,22,1,-9.81,55.9270390192778,1260.4952145429,-0.484992766267094,156.65217722183,-451.24529567595,1,1,1,1,1,1,0.384728892996694,0.273384314983204,0.422397789431557,2120.9283378054,101.258713794774,194.945594367387,1021.19749579009,0.0553716455895801,1.5709161439717e-06,1.11341832006313e-06,7.24086474738006e-05,"earth",NA,"job1348","earth_job1348","#ffffff","5.6589","","running","","ok"
"10",10,"./Falisse_et_al_2022/Falisse_et_al_2022_job1349.mat",0.939776594178131,62,608.22,2.63664546505622,2.6189254954031,0.36,0.36,2.07543198397418,0.481827401582745,5.5,5.44237926303225,6.14627297304997,5.99110720718735,28,1,-9.81,55.5971449066878,1387.55332782006,-1.08146471443902,166.083653983952,-382.499783602248,1,1,1,1,1,1,0.390736094727401,0.281777277203044,0.435366973951499,3112.18596685622,102.822126927473,381.42640407924,1586.71343601678,0.0855610349990391,1.51408394089904e-06,1.02156574124541e-06,9.05466373433674e-05,"earth",NA,"job1349","earth_job1349","#ffffff","6.1463","","running","","ok"
"11",11,"./Falisse_et_al_2022/Falisse_et_al_2022_job1353.mat",0.939776594178131,62,608.22,3.36136249769335,3.3285816102879,0.35,0.35,1.18794679107551,0.841788544329203,4,3.95165123060052,7.67818071018306,5.43429711979129,30,3,-9.81,63.7065493011375,1822.34920011738,-0.00212804378293881,178.728836957197,-373.515082830482,1,1,1,1,1,1,0.45898662607082,0.291802961843956,0.456333815025201,3215.89388736611,122.384525336174,456.654206941671,1942.58063916321,2.66192068680049,2.09243598071434e-06,1.24855663108853e-06,0.000111642527371276,"earth",NA,"job1353","earth_job1353","#ffffff","7.6782","","skipping","quite strange movement...leg flicks out","ok"
