Name,ID,Mass (g),LogMass,Dataset,Mass (kg),Mas (kg),Species,Sex,Age
Sleepy Dave,Sleey_Dave_Collar10,58.65,4.77,Annett_Kangaroo,,,,,
Windy,Windy_collar9,45.6,4.66,Annett_Kangaroo,,,,,
Lola,Lola_Collar15,25.2,4.4,Annett_Kangaroo,,,,,
Romeo,Romeo_Collar14,53,4.72,Annett_Kangaroo,,,,,
Gramps,Gramps_collar2,55.8,4.75,Annett_Kangaroo,,,,,
Gully Rat,Gully_Rat_Collar6,37.8,4.58,Annett_Kangaroo,,,,,
Munchies,Munchies_Collar5,27.9,4.45,Annett_Kangaroo,,,,,
Big Cahuna,Big_Cahuna_Collar3,50.4,4.7,Annett_Kangaroo,,,,,
,1,57.67,4.76,Clemente_Impala,,,,,
,2,63.87,4.81,Clemente_Impala,,,,,
,3,42.07,4.62,Clemente_Impala,,,,,
,4,57.97,4.76,Clemente_Impala,,,,,
,5,53.47,4.73,Clemente_Impala,,,,,
,6,64.27,4.81,Clemente_Impala,,,,,
,7,34.47,4.54,Clemente_Impala,,,,,
,8,53.17,4.73,Clemente_Impala,,,,,
,10,27.45,4.44,Clemente_Impala,,,,,
,11,60.57,4.78,Clemente_Impala,,,,,
,12,32.87,4.52,Clemente_Impala,,,,,
,14,45.47,4.66,Clemente_Impala,,,,,
,15,46.87,4.67,Clemente_Impala,,,,,
,6017913_0000000000,,5.26,Clemente_Kudu,180,,,,
cayless,Cayless,428,2.63,Gaschk_Quoll,,,,,
disgrace,Disgrace,390,2.59,Gaschk_Quoll,,,,,
grapes,Grapes,411,2.61,Gaschk_Quoll,,,,,
klemmer,Klemmer,647,2.81,Gaschk_Quoll,,,,,
maloney,Maloney,471,2.67,Gaschk_Quoll,,,,,
moimoi,Moimoi,662,2.82,Gaschk_Quoll,,,,,
moon,Moon,460,2.66,Gaschk_Quoll,,,,,
shillington,Shillington,566,2.75,Gaschk_Quoll,,,,,
shillington,Shillington2,566,2.75,Gaschk_Quoll,,,,,
shoeshow,Snowshoe,617,2.79,Gaschk_Quoll,,,,,
sphynx,Sphynx,342,2.53,Gaschk_Quoll,,,,,
tedesco,Tedesco,535,2.73,Gaschk_Quoll,,,,,
wolfram,Wolfram,384,2.58,Gaschk_Quoll,,,,,
1. Chaminuka,champ,,4.08,HarveyCaroll_Pangolin,12,,,,
2. Sindisiwe,cindy1,,3.66,HarveyCaroll_Pangolin,4.6,,,,
2. Sindisiwe,cindy2,,3.66,HarveyCaroll_Pangolin,4.6,,,,
3. Dakarai,dakari,,3.85,HarveyCaroll_Pangolin,7.1,,,,
4. Impi,impi1,,3.94,HarveyCaroll_Pangolin,8.75,,,,
4. Impi,impi2,,3.94,HarveyCaroll_Pangolin,8.75,,,,
4. Impi,impi3,,3.94,HarveyCaroll_Pangolin,8.75,,,,
5. Yakachena,yakachena1,,3.65,HarveyCaroll_Pangolin,4.5,,,,
5. Yakachena,yakachena2,,3.65,HarveyCaroll_Pangolin,4.5,,,,
6. Shura,shura,,4.15,HarveyCaroll_Pangolin,13.99,,,,
,21038,,4.588831726,Mauny_Goat,,38.8,,,
,21055,,4.689308859,Mauny_Goat,,48.9,,,
,21066,,4.783188691,Mauny_Goat,,60.7,,,
,21083,,4.67669361,Mauny_Goat,,47.5,,,
,21091,,4.64738297,Mauny_Goat,,44.4,,,
,21101,,4.658011397,Mauny_Goat,,45.5,,,
,21118,,4.662757832,Mauny_Goat,,46,,,
,21119,,4.670245853,Mauny_Goat,,46.8,,,
,1,288,5.46,Pagano_Bear,,,Polar,,
,2,212,5.33,Pagano_Bear,,,Polar,,
,3,237,5.37,Pagano_Bear,,,Polar,,
,4,126,5.1,Pagano_Bear,,,Brown,,
,5,126,5.1,Pagano_Bear,,,Brown,,
,6,173,5.24,Pagano_Bear,,,Polar,,
,7,176,5.25,Pagano_Bear,,,Polar,,
,8,199,5.3,Pagano_Bear,,,Polar,,
,9,172,5.24,Pagano_Bear,,,Polar,,
,10,141,5.15,Pagano_Bear,,,Polar,,
,11,186,5.27,Pagano_Bear,,,Polar,,
,12,140,5.15,Pagano_Bear,,,Polar,,
,Nicole,,3.6,Sparkes_Koala,3.985,,,F,Adult
,Angelina,,3.75,Sparkes_Koala,5.61,,,F,Adult
,Marilyn,,3.79,Sparkes_Koala,6.23,,,F,Adult
,Ferrell,,3.84,Sparkes_Koala,6.98,,,M,Adult
,Holland,,3.85,Sparkes_Koala,7.11,,,M,Adult
,Murray,,3.87,Sparkes_Koala,7.345,,,M,Adult
,Anne,,3.87,Sparkes_Koala,7.355,,,F,Adult
,Hardy,,3.87,Sparkes_Koala,7.405,,,M,Adult
,Chadwick,,3.9,Sparkes_Koala,7.9,,,M,Adult
,Dwayne,,3.93,Sparkes_Koala,8.5,,,M,Adult
,16,,4.11,Vehkaoja_Dog,13,,,,
,18,,4.46,Vehkaoja_Dog,29,,,,
,19,,4.48,Vehkaoja_Dog,30,,,,
,20,,4.18,Vehkaoja_Dog,15,,,,
,21,,4.59,Vehkaoja_Dog,39,,,,
,22,,4.54,Vehkaoja_Dog,35,,,,
,23,,4.36,Vehkaoja_Dog,23,,,,
,25,,4.41,Vehkaoja_Dog,26,,,,
,26,,4.3,Vehkaoja_Dog,20,,,,
,27,,4.2,Vehkaoja_Dog,16,,,,
,28,,4.45,Vehkaoja_Dog,28,,,,
,29,,4.11,Vehkaoja_Dog,13,,,,
,30,,4.23,Vehkaoja_Dog,17,,,,
,33,,4.36,Vehkaoja_Dog,23,,,,
,34,,4.26,Vehkaoja_Dog,18,,,,
,36,,4.3,Vehkaoja_Dog,20,,,,
,39,,4.18,Vehkaoja_Dog,15,,,,
,41,,4.4,Vehkaoja_Dog,25,,,,
,43,,4.15,Vehkaoja_Dog,14,,,,
,44,,4.28,Vehkaoja_Dog,19,,,,
,45,,4.34,Vehkaoja_Dog,22,,,,
,46,,4.3,Vehkaoja_Dog,20,,,,
,47,,4.34,Vehkaoja_Dog,22,,,,
,48,,4.48,Vehkaoja_Dog,30,,,,
,49,,4.4,Vehkaoja_Dog,25,,,,
,51,,4.4,Vehkaoja_Dog,25,,,,
,52,,4.4,Vehkaoja_Dog,25,,,,
,53,,4.54,Vehkaoja_Dog,35,,,,
,54,,4.26,Vehkaoja_Dog,18,,,,
,55,,4.4,Vehkaoja_Dog,25,,,,
,56,,4.3,Vehkaoja_Dog,20,,,,
,57,,4.45,Vehkaoja_Dog,28,,,,
,58,,4.45,Vehkaoja_Dog,28,,,,
,59,,4.2,Vehkaoja_Dog,16,,,,
,60,,4.49,Vehkaoja_Dog,31,,,,
,61,,4.61,Vehkaoja_Dog,41,,,,
,63,,4.57,Vehkaoja_Dog,37,,,,
,65,,4.3,Vehkaoja_Dog,20,,,,
,66,,4.36,Vehkaoja_Dog,23,,,,
,67,,4.45,Vehkaoja_Dog,28,,,,
,68,,4.45,Vehkaoja_Dog,28,,,,
,70,,4.3,Vehkaoja_Dog,20,,,,
,72,,4.48,Vehkaoja_Dog,30,,,,
,73,,4.36,Vehkaoja_Dog,23,,,,
,74,,4.51,Vehkaoja_Dog,32,,,,
