Species,number,temp,Substrate,max speed,av speed,max accel,av accel,accel standstill,HN,TA,SVL,TAIL,FFOOT,LFL,UFL,HFOOT,LHL,UHL,Mass
V.acanthurus,16,35.7,sand,2.685279847,2.092143563,9.746335118,6.905815956,7.475206017,42.24,83.8,124.37,217.5,13.12,11.68,10.68,19.88,14.97,16.19,34.45
V.acanthurus,19,36.5,fld,3.091952632,2.989013305,12.66712579,8.361282837,11.26582996,55.62,84.92,153.22,207,17.37,11.79,14.76,21.95,18.86,17.63,53.85
V.acanthurus,20,37,fld,3.062688139,2.101079766,10.6767251,7.828312678,8.779806436,51.05,92.35,144.55,241,17.49,15.73,15.54,24.19,18.08,20.28,65.92
V.acanthurus,21,37.1,fld,3.254162714,3.254162714,11.35989839,11.35989839,11.35989839,60.01,94.68,157.72,278,20.01,14.36,14.85,26.69,18.82,22.76,102.25
V.acanthurus,22,36,fld,4.304684148,4.030309506,9.959467806,7.63149371,7.865864932,53.2,89.71,138.97,229.5,15.52,14.53,14.32,22.35,16.57,15.2,74.9
V.acanthurus,175,35.8,sc,1.91715295,1.680356474,12.13369238,10.27949476,10.27949476,37.99,64.73,106.29,173.77,11.59,9.44,8.12,16.83,13.6,13.21,22.5
V.brevicauda,251,35.2,canvas,1.505693245,1.215941786,7.785994412,5.532085308,6.015410628,28.11,78.73,106.94,93b,8.85,7.17,6.7,10.1,9.9,8.7,18.7
V.brevicauda,251,35.3,sc,1.613953342,1.298137803,7.653528485,6.197203682,6.197203682,28.11,78.73,106.94,93b,8.85,7.17,6.7,10.1,9.9,8.7,18.7
V.brevicauda,250,36.8,canvas,1.557478844,1.428845136,5.700976007,4.731640424,5.284669558,32.68,70.12,105.44,94b,8.39,7.73,8.44,11.27,10.26,10.09,22.6
V.caudolineatus,130,35.8,sand,1.729,1.451634598,9.454622282,6.349966967,8.266822431,40.79,77.04,114.11,151,12.17,10.74,9.48,15.8,12.72,15.24,18.1
V.caudolineatus,131,37.4,sand,2.725,2.394360805,9.212739101,8.216331534,8.216331534,38.93,60.83,102.18,159,14.1,8.5,9.2,17.16,13.84,14.16,20.9
V.caudolineatus,132,35.6,sand,2.080,1.636073758,7.618563479,6.229461068,6.406000649,29.54,522.05,82.89,117,9.53,8.13,6.87,12.78,10.54,10.1,9.35
V.caudolineatus,133,37.1,sand,2.940,2.506602835,9.578762925,8.466727592,8.466727592,41.75,82.5,119.4,170,12.65,10.27,10,15.08,10.37,15.61,24.5
V.caudolineatus,134,36.6,sand,2.223,1.834094134,10.04450952,7.660414745,7.660414745,38.03,91.63,109.92,125,10.36,9.33,9.51,15.85,13.02,13.52,17.5
V.eremius,261,37.3,sand,3.864810764,3.174718173,13.66001305,9.370303443,10.05356958,56.74,108.2,162.59,275b,15.77,14.55,13.55,24.2,22.2,20.25,58.05
V.eremius,262,36.56666667,canvas,3.741552768,3.125092765,13.60600643,11.50747015,13.3303109,47.71,98.58,146.22,264,12.87,13.78,13.93,23.59,21.97,19.78,41.92
